#
#    Name:     cp862_Hewbrew to Unicode table
#    Unicode version: 2.0
#    Table version: 2.00
#    Table format:  Format A
#    Date:          02/14/02
#    Authors:       Alexander Bokovoy <ab@alt-linux.org>
#    General notes: generated from /usr/share/i18n/charmaps/IBM862
#
#    Format: Three tab-separated columns
#        Column #1 is the cp862_Hewbrew code (in hex)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
0x00	0x0000	# NULL (NUL)
0xab	0x00BD	# VULGAR FRACTION ONE HALF
0xac	0x00BC	# VULGAR FRACTION ONE QUARTER
0xad	0x00A1	# INVERTED EXCLAMATION MARK
0xae	0x00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xaf	0x00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xb0	0x2591	# LIGHT SHADE
0xb1	0x2592	# MEDIUM SHADE
0xb2	0x2593	# DARK SHADE
0xb3	0x2502	# BOX DRAWINGS LIGHT VERTICAL
0xb4	0x2524	# BOX DRAWINGS LIGHT VERTICAL AND LEFT
0xb5	0x2561	# BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
0xb6	0x2562	# BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
0xb7	0x2556	# BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE
0xb8	0x2555	# BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE
0xb9	0x2563	# BOX DRAWINGS DOUBLE VERTICAL AND LEFT
0xba	0x2551	# BOX DRAWINGS DOUBLE VERTICAL
0xbb	0x2557	# BOX DRAWINGS DOUBLE DOWN AND LEFT
0xbc	0x255D	# BOX DRAWINGS DOUBLE UP AND LEFT
0xbd	0x255C	# BOX DRAWINGS UP DOUBLE AND LEFT SINGLE
0xbe	0x255B	# BOX DRAWINGS UP SINGLE AND LEFT DOUBLE
0xbf	0x2510	# BOX DRAWINGS LIGHT DOWN AND LEFT
0xc0	0x2514	# BOX DRAWINGS LIGHT UP AND RIGHT
0xc1	0x2534	# BOX DRAWINGS LIGHT UP AND HORIZONTAL
0xc2	0x252C	# BOX DRAWINGS LIGHT DOWN AND HORIZONTAL
0xc3	0x251C	# BOX DRAWINGS LIGHT VERTICAL AND RIGHT
0xc4	0x2500	# BOX DRAWINGS LIGHT HORIZONTAL
0xc5	0x253C	# BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL
0xc6	0x255E	# BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
0xc7	0x255F	# BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE
0xc8	0x255A	# BOX DRAWINGS DOUBLE UP AND RIGHT
0xc9	0x2554	# BOX DRAWINGS DOUBLE DOWN AND RIGHT
0xca	0x2569	# BOX DRAWINGS DOUBLE UP AND HORIZONTAL
0xcb	0x2566	# BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
0xcc	0x2560	# BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
0xcd	0x2550	# BOX DRAWINGS DOUBLE HORIZONTAL
0xce	0x256C	# BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
0xcf	0x2567	# BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE
0xd0	0x2568	# BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE
0xd1	0x2564	# BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE
0xd2	0x2565	# BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
0xd3	0x2559	# BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE
0xd4	0x2558	# BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
0xd5	0x2552	# BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE
0xd6	0x2553	# BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE
0xd7	0x256B	# BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE
0xd8	0x256A	# BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
0xd9	0x2518	# BOX DRAWINGS LIGHT UP AND LEFT
0xda	0x250C	# BOX DRAWINGS LIGHT DOWN AND RIGHT
0xdb	0x2588	# FULL BLOCK
0xdc	0x2584	# LOWER HALF BLOCK
0xdd	0x258C	# LEFT HALF BLOCK
0xde	0x2590	# RIGHT HALF BLOCK
0xdf	0x2580	# UPPER HALF BLOCK
0xe0	0x03B1	# GREEK SMALL LETTER ALPHA
0xe1	0x00DF	# LATIN SMALL LETTER SHARP S (German)
0xe2	0x0393	# GREEK CAPITAL LETTER GAMMA
0xe3	0x03C0	# GREEK SMALL LETTER PI
0xe4	0x03A3	# GREEK CAPITAL LETTER SIGMA
0xe5	0x03C3	# GREEK SMALL LETTER SIGMA
0xe6	0x00B5	# MICRO SIGN
0xe7	0x03C4	# GREEK SMALL LETTER TAU
0xe8	0x03A6	# GREEK CAPITAL LETTER PHI
0xe9	0x0398	# GREEK CAPITAL LETTER THETA
0xea	0x03A9	# GREEK CAPITAL LETTER OMEGA
0xeb	0x03B4	# GREEK SMALL LETTER DELTA
0xec	0x221E	# INFINITY
0xed	0x03C6	# GREEK SMALL LETTER PHI
0xee	0x03B5	# GREEK SMALL LETTER EPSILON
0xef	0x2229	# INTERSECTION
0xf0	0x2261	# IDENTICAL TO
0xf1	0x00B1	# PLUS-MINUS SIGN
0xf2	0x2265	# GREATER-THAN OR EQUAL TO
0xf3	0x2264	# LESS-THAN OR EQUAL TO
0xf4	0x2320	# TOP HALF INTEGRAL
0xf5	0x2321	# BOTTOM HALF INTEGRAL
0xf6	0x00F7	# DIVISION SIGN
0xf7	0x2248	# ALMOST EQUAL TO
0xf8	0x00B0	# DEGREE SIGN
0xf9	0x2219	# BULLET OPERATOR
0xfa	0x00B7	# MIDDLE DOT
0xfb	0x221A	# SQUARE ROOT
0xfc	0x207F	# SUPERSCRIPT LATIN SMALL LETTER N
0xfd	0x00B2	# SUPERSCRIPT TWO
0xfe	0x25A0	# BLACK SQUARE
0xff	0x00A0	# NO-BREAK SPACE
