#
#	Name:             ISO 8859-8 to Unicode
#	Unicode version:  1.1
#	Table version:    0.1
#	Table format:     Format A
#	Date:             15 February 2002
#	Authors:          Alexander Bokovoy <ab@alt-linux.org>
#
#	General notes:
#
#	This table contains the data the Unicode Consortium has on how
#       ISO 8859-8 (Hewbrew) characters map into Unicode.
#
#	Format:  Three tab-separated columns
#		 Column #1 is the ISO 8859-8 code (in hex as 0xXX)
#		 Column #2 is the Unicode (in hex as 0xXXXX)
#		 Column #3 the Unicode name (follows a comment sign, '#')
#
#	The entries are in ISO 8859-8 order
#
0x00	0x0000	# NULL (NUL)
0xa9	0x00A9	# COPYRIGHT SIGN
0xaa	0x00D7	# MULTIPLICATION SIGN
0xab	0x00AB	# LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xac	0x00AC	# NOT SIGN
0xad	0x00AD	# SOFT HYPHEN
0xae	0x00AE	# REGISTERED SIGN
0xaf	0x00AF	# MACRON
0xb0	0x00B0	# DEGREE SIGN
0xb1	0x00B1	# PLUS-MINUS SIGN
0xb2	0x00B2	# SUPERSCRIPT TWO
0xb3	0x00B3	# SUPERSCRIPT THREE
0xb4	0x00B4	# ACUTE ACCENT
0xb5	0x00B5	# MICRO SIGN
0xb6	0x00B6	# PILCROW SIGN
0xb7	0x00B7	# MIDDLE DOT
0xb8	0x00B8	# CEDILLA
0xb9	0x00B9	# SUPERSCRIPT ONE
0xba	0x00F7	# DIVISION SIGN
0xbb	0x00BB	# RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xbc	0x00BC	# VULGAR FRACTION ONE QUARTER
0xbd	0x00BD	# VULGAR FRACTION ONE HALF
0xbe	0x00BE	# VULGAR FRACTION THREE QUARTERS
0xdf	0x2017	# DOUBLE LOW LINE
0xe0	0x05D0	# HEBREW LETTER ALEF
0xe1	0x05D1	# HEBREW LETTER BET
0xe2	0x05D2	# HEBREW LETTER GIMEL
0xe3	0x05D3	# HEBREW LETTER DALET
0xe4	0x05D4	# HEBREW LETTER HE
0xe5	0x05D5	# HEBREW LETTER VAV
0xe6	0x05D6	# HEBREW LETTER ZAYIN
0xe7	0x05D7	# HEBREW LETTER HET
0xe8	0x05D8	# HEBREW LETTER TET
0xe9	0x05D9	# HEBREW LETTER YOD
0xea	0x05DA	# HEBREW LETTER FINAL KAF
0xeb	0x05DB	# HEBREW LETTER KAF
0xec	0x05DC	# HEBREW LETTER LAMED
0xed	0x05DD	# HEBREW LETTER FINAL MEM
0xee	0x05DE	# HEBREW LETTER MEM
0xef	0x05DF	# HEBREW LETTER FINAL NUN
0xf0	0x05E0	# HEBREW LETTER NUN
0xf1	0x05E1	# HEBREW LETTER SAMEKH
0xf2	0x05E2	# HEBREW LETTER AYIN
0xf3	0x05E3	# HEBREW LETTER FINAL PE
0xf4	0x05E4	# HEBREW LETTER PE
0xf5	0x05E5	# HEBREW LETTER FINAL TSADI
0xf6	0x05E6	# HEBREW LETTER TSADI
0xf7	0x05E7	# HEBREW LETTER QOF
0xf8	0x05E8	# HEBREW LETTER RESH
0xf9	0x05E9	# HEBREW LETTER SHIN
0xfa	0x05EA	# HEBREW LETTER TAV
0xfd	0x200E	# LEFT-TO-RIGHT MARK
0xfe	0x200F	# RIGHT-TO-LEFT MARK
